run_name,processor,model,parameters,status,generation_count,latency,total_tokens,prompt_tokens,completion_tokens,parameters,timestamp,test_date,category,trace_id,batch_id
f20d_tpusg,tpusg,codestral,NP,failure,5,105.65,15758,10240,5518,NP,1755030448,08.14,codestral_tpusg_NP,f20dcc9d,codestral_9eb0_tpusg
b2d0_tpusg,tpusg,codestral,NP,failure,5,123.79,16582,10240,6342,NP,1755030591,08.14,codestral_tpusg_NP,b2d0150b,codestral_9eb0_tpusg
4f4f_tpusg,tpusg,codestral,NP,failure,4,91.47,12995,8192,4803,NP,1755030760,08.14,codestral_tpusg_NP,4f4fad09,codestral_9eb0_tpusg
37f5_tpusg,tpusg,codestral,NP,success,2,37.75,6050,4096,1954,NP,1755030887,08.14,codestral_tpusg_NP,37f5961c,codestral_9eb0_tpusg
f510_tpusg,tpusg,codestral,NP,success,1,17.02,2920,2048,872,NP,1755030987,08.14,codestral_tpusg_NP,f5103c81,codestral_9eb0_tpusg
fd41_tpusg,tpusg,codestral,NP,success,2,41.12,6236,4096,2140,NP,1755031014,08.14,codestral_tpusg_NP,fd4116c6,codestral_9eb0_tpusg
8619_tpusg,tpusg,codestral,NP,success,3,64.21,9493,6144,3349,NP,1755031117,08.14,codestral_tpusg_NP,86192a50,codestral_9eb0_tpusg
507c_tpusg,tpusg,codestral,NP,success,5,66.92,13594,10240,3354,NP,1755031254,08.14,codestral_tpusg_NP,507cb38e,codestral_9eb0_tpusg
62c5_tpusg,tpusg,codestral,NP,failure,5,89.84,14872,10240,4632,NP,1755031405,08.14,codestral_tpusg_NP,62c59829,codestral_9eb0_tpusg
4b0f_tpusg,tpusg,codestral,NP,failure,5,82.76,14479,10240,4239,NP,1755031532,08.14,codestral_tpusg_NP,4b0f310b,codestral_9eb0_tpusg
5dc4_tpusg,tpusg,codestral,NP,failure,5,101.35,15520,10240,5280,NP,1755031653,08.14,codestral_tpusg_NP,5dc4f5c5,codestral_9eb0_tpusg
8c99_tpusg,tpusg,codestral,NP,success,3,58.12,9160,6144,3016,NP,1755031791,08.14,codestral_tpusg_NP,8c9902f1,codestral_9eb0_tpusg
0fcb_tpusg,tpusg,codestral,NP,success,5,69.96,13769,10240,3529,NP,1755031924,08.14,codestral_tpusg_NP,0fcb79ae,codestral_9eb0_tpusg
66f3_tpusg,tpusg,codestral,NP,failure,5,48.98,12593,10240,2353,NP,1755032068,08.14,codestral_tpusg_NP,66f3efbf,codestral_9eb0_tpusg
a737_tpusg,tpusg,codestral,NP,failure,5,54.54,12909,10240,2669,NP,1755032157,08.14,codestral_tpusg_NP,a7374a06,codestral_9eb0_tpusg
e710_tpusg,tpusg,codestral,NP,success,2,41.58,6261,4096,2165,NP,1755032237,08.14,codestral_tpusg_NP,e710c410,codestral_9eb0_tpusg
f382_tpusg,tpusg,codestral,NP,failure,5,83.95,14547,10240,4307,NP,1755032341,08.14,codestral_tpusg_NP,f38221c0,codestral_9eb0_tpusg
43db_tpusg,tpusg,codestral,NP,failure,5,60.67,13237,10240,2997,NP,1755032459,08.14,codestral_tpusg_NP,43dbbeff,codestral_9eb0_tpusg
d82a_tpusg,tpusg,codestral,NP,failure,5,68.7,13702,10240,3462,NP,1755032548,08.14,codestral_tpusg_NP,d82a606f,codestral_9eb0_tpusg
598c_tpusg,tpusg,codestral,NP,failure,5,98.98,15385,10240,5145,NP,1755032637,08.14,codestral_tpusg_NP,598c6ad2,codestral_9eb0_tpusg
eb4e_pysg,psg,codestral,P,failure,5,64.85,13333,10052,3281,P,1755043809,08.15,codestral_psg_P,eb4e4bf0,codestral_e6d3_psg
519e_pysg,psg,codestral,P,failure,5,68.24,13525,10052,3473,P,1755043881,08.15,codestral_psg_P,519e5188,codestral_e6d3_psg
c4b1_pysg,psg,codestral,P,failure,5,72.73,13780,10052,3728,P,1755043957,08.15,codestral_psg_P,c4b19797,codestral_e6d3_psg
115e_pysg,psg,codestral,P,failure,5,73.71,13837,10052,3785,P,1755044036,08.15,codestral_psg_P,115ed904,codestral_e6d3_psg
203f_pysg,psg,codestral,P,failure,5,73.08,13801,10052,3749,P,1755044118,08.15,codestral_psg_P,203f2b06,codestral_e6d3_psg
92ff_pysg,psg,codestral,P,failure,5,71.72,13725,10052,3673,P,1755044198,08.15,codestral_psg_P,92ff50c7,codestral_e6d3_psg
1727_pysg,psg,codestral,P,success,3,46.14,8335,5956,2379,P,1755044277,08.15,codestral_psg_P,17279833,codestral_e6d3_psg
5927_pysg,psg,codestral,P,success,4,47.68,10394,8004,2390,P,1755044339,08.15,codestral_psg_P,5927d636,codestral_e6d3_psg
