Candidate_ID,Model,Precision,Recall,F1,F3,Language,Timestamp
valid_20250730210433_psg_gemma3:27b,gemma3:27b,0.8114345073699951,0.7562643885612488,0.7828786373138428,0.7614414691925049,python,2025-11-27T14:58:24.147752
valid_20250804075604_psg_qwen2.5-coder:32b,qwen2.5-coder:32b,0.8326634168624878,0.7482722997665405,0.7882154583930969,0.7559338212013245,python,2025-11-27T14:58:28.067586
valid_20250812212920_psg_gemma3:27b,gemma3:27b,0.7963456511497498,0.7054079174995422,0.7481234073638916,0.7135562896728516,python,2025-11-27T14:58:31.657047
valid_20250818190048_psg_phi4:latest,phi4:latest,0.861302375793457,0.7644281387329102,0.8099789619445801,0.7731238007545471,python,2025-11-27T14:58:35.791737
valid_20250805033526_psg_gemma3:27b,gemma3:27b,0.8006713390350342,0.7200080752372742,0.7582002878189087,0.7273356318473816,python,2025-11-27T14:58:39.295554
valid_20250520024353_psg_qwen2.5-coder:32b,qwen2.5-coder:32b,0.8438629508018494,0.7642053365707397,0.8020612001419067,0.7714878916740417,python,2025-11-27T14:58:42.793819
valid_20250801214341_psg_qwen2.5-coder:32b,qwen2.5-coder:32b,0.8332153558731079,0.7455673217773438,0.7869583964347839,0.7534935474395752,python,2025-11-27T14:58:47.153842
valid_20250520023328_psg_qwen2.5-coder:32b,qwen2.5-coder:32b,0.8438629508018494,0.7642053365707397,0.8020612001419067,0.7714878916740417,python,2025-11-27T14:58:54.193329
valid_20250818204159_psg_phi4:latest,phi4:latest,0.8560296297073364,0.7659772634506226,0.8085036873817444,0.7741208672523499,python,2025-11-27T14:58:58.030150
valid_20250801190909_psg_qwen2.5-coder:32b,qwen2.5-coder:32b,0.8357633352279663,0.7581987380981445,0.7950937747955322,0.7653012275695801,python,2025-11-27T14:59:02.890640
valid_20250521132644_psg_codestral:latest,codestral:latest,0.8951742649078369,0.7680943012237549,0.8267796039581299,0.7791552543640137,python,2025-11-27T14:59:08.764456
valid_20250805145416_psg_gemma3:27b,gemma3:27b,0.7948786020278931,0.7054952383041382,0.7475244998931885,0.7135186791419983,python,2025-11-27T14:59:12.926486
valid_20250812212227_psg_gemma3:27b,gemma3:27b,0.8120875358581543,0.7329098582267761,0.7704697847366333,0.7401260137557983,python,2025-11-27T14:59:17.061239
valid_20250804160123_psg_qwen2.5-coder:32b,qwen2.5-coder:32b,0.7346155643463135,0.5444444417953491,0.6253926157951355,0.5589131116867065,python,2025-11-27T14:59:21.313130
valid_20250813000807_psg_codestral:latest,codestral:latest,0.889681339263916,0.7584378719329834,0.8188340067863464,0.769793689250946,python,2025-11-27T14:59:26.402368
valid_20250520025924_psg_qwen2.5-coder:32b,qwen2.5-coder:32b,0.8448671698570251,0.7643805146217346,0.8026110529899597,0.7717324495315552,python,2025-11-27T14:59:30.637500
valid_20250805153130_psg_gemma3:27b,gemma3:27b,0.8116155862808228,0.7193114757537842,0.7626809477806091,0.7275862097740173,python,2025-11-27T14:59:34.514160
valid_20250805152605_psg_gemma3:27b,gemma3:27b,0.810336172580719,0.724123477935791,0.7648079991340637,0.7319104075431824,python,2025-11-27T14:59:39.197792
valid_20250818205947_psg_phi4:latest,phi4:latest,0.8605182766914368,0.771105945110321,0.813362181186676,0.7792022228240967,python,2025-11-27T14:59:43.283978
valid_20250801191704_psg_qwen2.5-coder:32b,qwen2.5-coder:32b,0.8358045816421509,0.7332437038421631,0.7811722159385681,0.742353081703186,python,2025-11-27T14:59:46.683789
valid_20250805163244_psg_phi4:latest,phi4:latest,0.861302375793457,0.7644281387329102,0.8099789619445801,0.7731238007545471,python,2025-11-27T14:59:50.117910
valid_20250812210844_psg_gemma3:27b,gemma3:27b,0.7987322807312012,0.7009766101837158,0.7466684579849243,0.7096620202064514,python,2025-11-27T14:59:53.628890
valid_20250801192628_psg_qwen2.5-coder:32b,qwen2.5-coder:32b,0.8593720197677612,0.7662917375564575,0.8101671934127808,0.7746825218200684,python,2025-11-27T14:59:57.060930
valid_20250804161101_psg_qwen2.5-coder:32b,qwen2.5-coder:32b,0.8384425044059753,0.7336564660072327,0.7825573086738586,0.7429414987564087,python,2025-11-27T15:00:00.551816
valid_20250805152307_psg_gemma3:27b,gemma3:27b,0.8123407959938049,0.7196005582809448,0.7631635069847107,0.7279107570648193,python,2025-11-27T15:00:04.525582
