Red,Green,Blue,Fruit_apple,Fruit_banana,Fruit_orange
0.202616929213511,-0.0355061524344256,-0.3749045179041247,False,False,True
0.4215800647237964,-0.2282179903823982,-0.5325861552263417,False,False,True
0.932494047581128,-0.2603366300403936,-1.5837970707077864,False,False,True
0.579720107036779,-0.2603366300403936,-0.8216691569837392,False,False,True
0.579720107036779,-0.2603366300403936,-0.8216691569837392,False,False,True
1.1149633271730324,-0.533345067133354,-1.5575167978207505,False,False,True
0.8230124798259851,-0.469107787817363,-1.0056310671929916,False,False,True
0.932494047581128,-0.0355061524344256,-1.951720891126292,False,False,True
1.2366095135676354,-0.8384721438843105,-1.294714068950389,False,False,True
1.2366095135676354,-0.8384721438843105,-1.294714068950389,False,False,True
0.932494047581128,-0.5654637067913494,-1.0844718858541,False,False,True
0.8230124798259851,-0.469107787817363,-1.0056310671929916,False,False,True
1.0419756153362707,-0.6618196257653356,-1.1633127045152083,False,False,True
1.1149633271730324,-0.533345067133354,-1.5575167978207505,False,False,True
0.8230124798259851,-0.469107787817363,-1.0056310671929916,False,False,True
0.932494047581128,-0.356692549014379,-1.42611543338557,False,False,True
0.6770370561524615,-0.6297009861073402,-0.4274650636781971,False,False,True
1.3704203186016988,-0.469107787817363,-2.1882433471096174,False,False,True
0.932494047581128,-0.5654637067913494,-1.0844718858541,False,False,True
0.932494047581128,-0.5654637067913494,-1.0844718858541,False,False,True
0.8230124798259851,-0.469107787817363,-1.0056310671929916,False,False,True
0.8230124798259851,-0.469107787817363,-1.0056310671929916,False,False,True
1.0419756153362707,-0.6618196257653356,-1.1633127045152083,False,False,True
0.7256955307103027,-0.1639807110664073,-1.294714068950389,False,False,True
1.01764637805735,-0.2603366300403936,-1.767758980917039,False,False,True
0.932494047581128,-0.356692549014379,-1.42611543338557,False,False,True
1.1636218017308737,-0.2603366300403936,-2.083122255561473,False,False,True
0.579720107036779,-0.2603366300403936,-0.8216691569837392,False,False,True
0.7865186239076042,-0.1318620714084119,-1.4786759791596422,False,False,True
1.0663048526151913,-0.3888111886723744,-1.662637889368895,False,False,True
1.2366095135676354,-0.8384721438843105,-1.294714068950389,False,False,True
1.0663048526151913,-0.3888111886723744,-1.662637889368895,False,False,True
0.932494047581128,-0.5654637067913494,-1.0844718858541,False,False,True
0.932494047581128,-0.5654637067913494,-1.0844718858541,False,False,True
1.0663048526151913,-0.3888111886723744,-1.662637889368895,False,False,True
1.1149633271730324,-0.533345067133354,-1.5575167978207505,False,False,True
1.1149633271730324,-0.533345067133354,-1.5575167978207505,False,False,True
0.932494047581128,-0.5654637067913494,-1.0844718858541,False,False,True
1.1149633271730324,-0.533345067133354,-1.5575167978207505,False,False,True
0.8595063357443661,-0.3406332291853813,-1.294714068950389,False,False,True
0.8595063357443661,-0.3406332291853813,-1.294714068950389,False,False,True
0.8595063357443661,-0.3406332291853813,-1.294714068950389,False,False,True
1.297432606764937,-0.693938265423331,-1.662637889368895,False,False,True
1.0419756153362707,-0.6618196257653356,-1.1633127045152083,False,False,True
0.8230124798259851,-0.469107787817363,-1.0056310671929916,False,False,True
1.1149633271730324,-1.1435992206352663,-0.5325861552263417,False,False,True
0.932494047581128,-0.5654637067913494,-1.0844718858541,False,False,True
0.932494047581128,-0.8384721438843105,-0.6377072467744862,False,False,True
0.579720107036779,-0.2603366300403936,-0.8216691569837392,False,False,True
1.0419756153362707,-0.6618196257653356,-1.1633127045152083,False,False,True
1.0663048526151913,-0.3888111886723744,-1.662637889368895,False,False,True
1.0419756153362707,-0.6618196257653356,-1.1633127045152083,False,False,True
0.8230124798259851,-0.469107787817363,-1.0056310671929916,False,False,True
1.1149633271730324,-0.533345067133354,-1.5575167978207505,False,False,True
0.8230124798259851,-0.469107787817363,-1.0056310671929916,False,False,True
0.932494047581128,-0.8384721438843105,-0.6377072467744862,False,False,True
0.932494047581128,-0.5654637067913494,-1.0844718858541,False,False,True
1.0663048526151913,-0.3888111886723744,-1.662637889368895,False,False,True
0.7865186239076042,-0.1318620714084119,-1.4786759791596422,False,False,True
1.0419756153362707,-0.6618196257653356,-1.1633127045152083,False,False,True
1.1149633271730324,-0.533345067133354,-1.5575167978207505,False,False,True
0.8595063357443661,-0.3406332291853813,-1.294714068950389,False,False,True
0.8595063357443661,-0.3406332291853813,-1.294714068950389,False,False,True
0.7013662934313821,-0.1960993507244028,-1.1895929774022445,False,False,True
0.8595063357443661,-0.3406332291853813,-1.294714068950389,False,False,True
0.7256955307103027,-0.1639807110664073,-1.294714068950389,False,False,True
1.1149633271730324,-0.533345067133354,-1.5575167978207505,False,False,True
1.0419756153362707,-0.6618196257653356,-1.1633127045152083,False,False,True
0.932494047581128,-0.356692549014379,-1.42611543338557,False,False,True
0.7621893866286836,-0.4209298283303699,-0.9530705214189192,False,False,True
0.932494047581128,-0.356692549014379,-1.42611543338557,False,False,True
1.0054817594178898,-0.469107787817363,-1.3998351604985335,False,False,True
0.932494047581128,-0.5654637067913494,-1.0844718858541,False,False,True
0.8716709543838264,-0.5172857473043562,-1.0319113400800275,False,False,True
0.579720107036779,-0.2603366300403936,-0.8216691569837392,False,False,True
0.7256955307103027,-0.3888111886723744,-0.9267902485318832,False,False,True
0.6770370561524615,-0.2121586705534005,-1.1107521587411362,False,False,True
0.579720107036779,-0.2603366300403936,-0.8216691569837392,False,False,True
0.4945677765605569,-0.3245739093563845,-0.5325861552263417,False,False,True
0.4337446833632568,-0.1318620714084119,-0.7165480654355947,False,False,True
0.6770370561524615,-0.6297009861073402,-0.4274650636781971,False,False,True
0.579720107036779,-0.2603366300403936,-0.8216691569837392,False,False,True
0.579720107036779,-0.2603366300403936,-0.8216691569837392,False,False,True
0.8108478611865249,-0.3245739093563845,-1.2158732502892806,False,False,True
0.7865186239076042,-0.1318620714084119,-1.4786759791596422,False,False,True
0.8230124798259851,-0.469107787817363,-1.0056310671929916,False,False,True
0.8108478611865249,-0.3245739093563845,-1.2158732502892806,False,False,True
0.9933171407784294,-0.3727518688433767,-1.531236524933714,False,False,True
0.8716709543838264,-0.2603366300403936,-1.452395706272606,False,False,True
0.7256955307103027,-0.1639807110664073,-1.294714068950389,False,False,True
-0.0650046808546157,0.0287311268815652,0.1244206669495612,False,False,True
-0.0163462062967744,-0.6618196257653356,1.123071036656934,True,False,False
