Fruit,Red,Green,Blue
orange,0.202616929213511,-0.035506152434425654,-0.37490451790412477
orange,0.42158006472379644,-0.22821799038239823,-0.5325861552263417
orange,0.9324940475811279,-0.26033663004039365,-1.5837970707077864
orange,0.579720107036779,-0.26033663004039365,-0.8216691569837392
orange,0.579720107036779,-0.26033663004039365,-0.8216691569837392
orange,1.1149633271730324,-0.533345067133354,-1.5575167978207503
orange,0.8230124798259851,-0.46910778781736306,-1.0056310671929916
orange,0.9324940475811279,-0.035506152434425654,-1.951720891126292
orange,1.2366095135676354,-0.8384721438843105,-1.294714068950389
orange,1.2366095135676354,-0.8384721438843105,-1.294714068950389
orange,0.9324940475811279,-0.5654637067913494,-1.0844718858541
orange,0.8230124798259851,-0.46910778781736306,-1.0056310671929916
orange,1.0419756153362707,-0.6618196257653356,-1.1633127045152083
orange,1.1149633271730324,-0.533345067133354,-1.5575167978207503
orange,0.8230124798259851,-0.46910778781736306,-1.0056310671929916
orange,0.9324940475811279,-0.356692549014379,-1.42611543338557
orange,0.6770370561524615,-0.6297009861073402,-0.4274650636781971
orange,1.3704203186016988,-0.46910778781736306,-2.1882433471096174
orange,0.9324940475811279,-0.5654637067913494,-1.0844718858541
orange,0.9324940475811279,-0.5654637067913494,-1.0844718858541
orange,0.8230124798259851,-0.46910778781736306,-1.0056310671929916
orange,0.8230124798259851,-0.46910778781736306,-1.0056310671929916
orange,1.0419756153362707,-0.6618196257653356,-1.1633127045152083
orange,0.7256955307103027,-0.16398071106640738,-1.294714068950389
orange,1.01764637805735,-0.26033663004039365,-1.7677589809170393
orange,0.9324940475811279,-0.356692549014379,-1.42611543338557
orange,1.1636218017308737,-0.26033663004039365,-2.083122255561473
orange,0.579720107036779,-0.26033663004039365,-0.8216691569837392
orange,0.7865186239076042,-0.13186207140841194,-1.4786759791596422
orange,1.0663048526151913,-0.38881118867237446,-1.662637889368895
orange,1.2366095135676354,-0.8384721438843105,-1.294714068950389
orange,1.0663048526151913,-0.38881118867237446,-1.662637889368895
orange,0.9324940475811279,-0.5654637067913494,-1.0844718858541
orange,0.9324940475811279,-0.5654637067913494,-1.0844718858541
orange,1.0663048526151913,-0.38881118867237446,-1.662637889368895
orange,1.1149633271730324,-0.533345067133354,-1.5575167978207503
orange,1.1149633271730324,-0.533345067133354,-1.5575167978207503
orange,0.9324940475811279,-0.5654637067913494,-1.0844718858541
orange,1.1149633271730324,-0.533345067133354,-1.5575167978207503
orange,0.8595063357443661,-0.34063322918538136,-1.294714068950389
orange,0.8595063357443661,-0.34063322918538136,-1.294714068950389
orange,0.8595063357443661,-0.34063322918538136,-1.294714068950389
orange,1.297432606764937,-0.693938265423331,-1.662637889368895
orange,1.0419756153362707,-0.6618196257653356,-1.1633127045152083
orange,0.8230124798259851,-0.46910778781736306,-1.0056310671929916
orange,1.1149633271730324,-1.1435992206352665,-0.5325861552263417
orange,0.9324940475811279,-0.5654637067913494,-1.0844718858541
orange,0.9324940475811279,-0.8384721438843105,-0.6377072467744862
orange,0.579720107036779,-0.26033663004039365,-0.8216691569837392
orange,1.0419756153362707,-0.6618196257653356,-1.1633127045152083
orange,1.0663048526151913,-0.38881118867237446,-1.662637889368895
orange,1.0419756153362707,-0.6618196257653356,-1.1633127045152083
orange,0.8230124798259851,-0.46910778781736306,-1.0056310671929916
orange,1.1149633271730324,-0.533345067133354,-1.5575167978207503
orange,0.8230124798259851,-0.46910778781736306,-1.0056310671929916
orange,0.9324940475811279,-0.8384721438843105,-0.6377072467744862
orange,0.9324940475811279,-0.5654637067913494,-1.0844718858541
orange,1.0663048526151913,-0.38881118867237446,-1.662637889368895
orange,0.7865186239076042,-0.13186207140841194,-1.4786759791596422
orange,1.0419756153362707,-0.6618196257653356,-1.1633127045152083
orange,1.1149633271730324,-0.533345067133354,-1.5575167978207503
orange,0.8595063357443661,-0.34063322918538136,-1.294714068950389
orange,0.8595063357443661,-0.34063322918538136,-1.294714068950389
orange,0.7013662934313821,-0.1960993507244028,-1.1895929774022445
orange,0.8595063357443661,-0.34063322918538136,-1.294714068950389
orange,0.7256955307103027,-0.16398071106640738,-1.294714068950389
orange,1.1149633271730324,-0.533345067133354,-1.5575167978207503
orange,1.0419756153362707,-0.6618196257653356,-1.1633127045152083
orange,0.9324940475811279,-0.356692549014379,-1.42611543338557
orange,0.7621893866286836,-0.4209298283303699,-0.9530705214189192
orange,0.9324940475811279,-0.356692549014379,-1.42611543338557
orange,1.0054817594178898,-0.46910778781736306,-1.3998351604985337
orange,0.9324940475811279,-0.5654637067913494,-1.0844718858541
orange,0.8716709543838264,-0.5172857473043562,-1.0319113400800277
orange,0.579720107036779,-0.26033663004039365,-0.8216691569837392
orange,0.7256955307103027,-0.38881118867237446,-0.9267902485318831
orange,0.6770370561524615,-0.2121586705534005,-1.1107521587411362
orange,0.579720107036779,-0.26033663004039365,-0.8216691569837392
orange,0.49456777656055695,-0.3245739093563845,-0.5325861552263417
orange,0.4337446833632568,-0.13186207140841194,-0.7165480654355947
orange,0.6770370561524615,-0.6297009861073402,-0.4274650636781971
orange,0.579720107036779,-0.26033663004039365,-0.8216691569837392
orange,0.579720107036779,-0.26033663004039365,-0.8216691569837392
orange,0.8108478611865249,-0.3245739093563845,-1.2158732502892806
orange,0.7865186239076042,-0.13186207140841194,-1.4786759791596422
orange,0.8230124798259851,-0.46910778781736306,-1.0056310671929916
orange,0.8108478611865249,-0.3245739093563845,-1.2158732502892806
orange,0.9933171407784294,-0.37275186884337674,-1.531236524933714
orange,0.8716709543838264,-0.26033663004039365,-1.452395706272606
orange,0.7256955307103027,-0.16398071106640738,-1.294714068950389
orange,-0.0650046808546157,0.028731126881565205,0.12442066694956125
apple,-0.01634620629677449,-0.6618196257653356,1.123071036656934
apple,-0.01634620629677449,-0.6618196257653356,1.123071036656934
apple,0.32426311560811405,-0.8384721438843105,0.6763063975773203
apple,0.2634400224108125,-1.2078364999512574,1.3858737655272955
apple,0.39725082744487583,-1.288133099096246,1.2544724010921147
apple,0.2634400224108125,-1.2078364999512574,1.3858737655272955
apple,0.00798303098214612,-1.031183981832283,1.6749567672846923
